kanji,kana,level
器,うつわ,n1
雨天,うてん,n1
腕前,うでまえ,n1
饂飩,うどん,n1
促す,うながす,n1
唸る,うなる,n1
自惚れ,うぬぼれ,n1
甘い,うまい,n1
生まれつき,うまれつき,n1
海路,うみじ,n1
産む,うむ,n1
埋め込む,うめこむ,n1
梅干,うめぼし,n1
末,うら,n1
裏返し,うらがえし,n1
売り出し,うりだし,n1
売り出す,うりだす,n1
潤う,うるおう,n1
五月蝿い,うるさい,n1
売れ行き,うれゆき,n1
浮気,うわき,n1
上手,うわて,n1
上回る,うわまわる,n1
植わる,うわる,n1
運営,うんえい,n1
うんざり,うんざり,n1
運送,うんそう,n1
運賃,うんちん,n1
云々,うんぬん,n1
運搬,うんぱん,n1
運命,うんめい,n1
運輸,うんゆ,n1
運用,うんよう,n1
会,え,n1
重,え,n1
えい,えい,n1
映写,えいしゃ,n1
英字,えいじ,n1
衛生,えいせい,n1
映像,えいぞう,n1
英雄,えいゆう,n1
液,えき,n1
役,えき,n1
閲覧,えつらん,n1
獲物,えもの,n1
襟,えり,n1
縁,えん,n1
塩,えん,n1
艶,えん,n1
園,えん,n1
円滑,えんかつ,n1
縁側,えんがわ,n1
沿岸,えんがん,n1
婉曲,えんきょく,n1
演習,えんしゅう,n1
演出,えんしゅつ,n1
演じる,えんじる,n1
演ずる,えんずる,n1
沿線,えんせん,n1
縁談,えんだん,n1
遠方,えんぽう,n1
円満,えんまん,n1
尾,お,n1
於,お,n1
甥,おい,n1
追い込む,おいこむ,n1
美味しい,おいしい,n1
追い出す,おいだす,n1
於いて,おいて,n1
お出でになる,おいでになる,n1
老いる,おいる,n1
負う,おう,n1
応急,おうきゅう,n1
黄金,おうごん,n1
黄色,おうしょく,n1
応募,おうぼ,n1
おおい,おおい,n1
大方,おおかた,n1
大柄,おおがら,n1
大げさ,おおげさ,n1
大事,おおごと,n1
大ざっぱ,おおざっぱ,n1
大筋,おおすじ,n1
大空,おおぞら,n1
大幅,おおはば,n1
大水,おおみず,n1
公,おおやけ,n1
お蔭,おかげ,n1
お蔭様で,おかげさまで,n1
可笑しい,おかしい,n1
犯す,おかす,n1
侵す,おかす,n1
お菜,おかず,n1
臆病,おくびょう,n1
遅らす,おくらす,n1
遅れ,おくれ,n1
起こす,おこす,n1
行い,おこない,n1
厳か,おごそか,n1
傲る,おごる,n1
長,おさ,n1
押さえる,おさえる,n1
お先に,おさきに,n1
収まる,おさまる,n1
納まる,おさまる,n1
治まる,おさまる,n1
お産,おさん,n1
教え,おしえ,n1
押し込む,おしこむ,n1
惜しむ,おしむ,n1
お喋り,おしゃべり,n1
お洒落,おしゃれ,n1
押し寄せる,おしよせる,n1
お祖父さん,おじいさん,n1
お邪魔します,おじゃまします,n1
雄,おす,n1
お世辞,おせじ,n1
襲う,おそう,n1
遅くとも,おそくとも,n1
恐らく,おそらく,n1
恐れ,おそれ,n1
恐れ入る,おそれいる,n1
お大事に,おだいじに,n1
煽てる,おだてる,n1
落ち込む,おちこむ,n1
落ち着き,おちつき,n1
落ち葉,おちば,n1
落ちる,おちる,n1
おっかない,おっかない,n1
仰っしゃる,おっしゃる,n1
乙,おつ,n1
お使い,おつかい,n1
お手上げ,おてあげ,n1
御手洗い,おてあらい,n1
弟,おと,n1
落とす,おとす,n1
訪れる,おとずれる,n1
大人しい,おとなしい,n1
少女,おとめ,n1
お供,おとも,n1
衰える,おとろえる,n1
おどおど,おどおど,n1
脅かす,おどかす,n1
脅す,おどす,n1
驚き,おどろき,n1
同い年,おないどし,n1
女子,おなご,n1
お願いします,おねがいします,n1
各,おのおの,n1
自ずから,おのずから,n1
お早う,おはよう,n1
お祖母さん,おばあさん,n1
怯える,おびえる,n1
夥しい,おびただしい,n1
帯びる,おびる,n1
覚え,おぼえ,n1
御負け,おまけ,n1
お巡りさん,おまわりさん,n1
お宮,おみや,n1
お襁褓,おむつ,n1
お目出度う,おめでとう,n1
面,おも,n1
思い付き,おもいつき,n1
面白い,おもしろい,n1
玩具,おもちゃ,n1
重なる,おもなる,n1
趣,おもむき,n1
赴く,おもむく,n1
重役,おもやく,n1
重んじる,おもんじる,n1
重んずる,おもんずる,n1
お休み,おやすみ,n1
お八,おやつ,n1
凡そ,およそ,n1
及び,および,n1
及ぶ,およぶ,n1
織,おり,n1
檻,おり,n1
折り返す,おりかえす,n1
織物,おりもの,n1
織る,おる,n1
俺,おれ,n1
愚か,おろか,n1
疎か,おろそか,n1
終わる,おわる,n1
音色,おんいろ,n1
温和,おんわ,n1
仮,か,n1
科,か,n1
個,か,n1
下位,かい,n1
階,かい,n1
改悪,かいあく,n1
海運,かいうん,n1
改革,かいかく,n1
貝殻,かいがら,n1
階級,かいきゅう,n1
海峡,かいきょう,n1
会見,かいけん,n1
介護,かいご,n1
開催,かいさい,n1
回収,かいしゅう,n1
改修,かいしゅう,n1
怪獣,かいじゅう,n1
解除,かいじょ,n1
回送,かいそう,n1
階層,かいそう,n1
開拓,かいたく,n1
会談,かいだん,n1
改定,かいてい,n1
改訂,かいてい,n1
街道,かいどう,n1
介入,かいにゅう,n1
開発,かいはつ,n1
海抜,かいばつ,n1
介抱,かいほう,n1
解剖,かいぼう,n1
回覧,かいらん,n1
海流,かいりゅう,n1
改良,かいりょう,n1
回路,かいろ,n1
顧みる,かえりみる,n1
省みる,かえりみる,n1
返る,かえる,n1
顔付き,かおつき,n1
掲げる,かかげる,n1
踵,かかと,n1
係り,かかり,n1
課外,かがい,n1
書き取り,かきとり,n1
書き取る,かきとる,n1
掻き回す,かきまわす,n1
欠く,かく,n1
角,かく,n1
核,かく,n1
格,かく,n1
佳句,かく,n1
画,かく,n1
格差,かくさ,n1
拡散,かくさん,n1
各種,かくしゅ,n1
隔週,かくしゅう,n1
確信,かくしん,n1
革新,かくしん,n1
確定,かくてい,n1
獲得,かくとく,n1
確保,かくほ,n1
革命,かくめい,n1
確立,かくりつ,n1
賭け,かけ,n1
掛け,かけ,n1
駆け足,かけあし,n1
家計,かけい,n1
駆けっこ,かけっこ,n1
駆ける,かける,n1
賭ける,かける,n1
ヶ月,かげつ,n1
加工,かこう,n1
化合,かごう,n1
嵩張る,かさばる,n1
嵩む,かさむ,n1
風車,かざぐるま,n1
畏まりました,かしこまりました,n1
華奢,かしゃ,n1
箇所,かしょ,n1
火傷,かしょう,n1
箇条書き,かじょうがき,n1
噛る,かじる,n1
微か,かすか,n1
霞む,かすむ,n1
化する,かする,n1
擦る,かする,n1
火星,かせい,n1
化石,かせき,n1
河川,かせん,n1
化繊,かせん,n1
過疎,かそ,n1
過多,かた,n1
難い,かたい,n1
片思い,かたおもい,n1
敵,かたき,n1
気質,かたぎ,n1
片言,かたこと,n1
片付け,かたづけ,n1
傾く,かたぶく,n1
傾ける,かたむける,n1
固める,かためる,n1
偏る,かたよる,n1
傍ら,かたわら,n1
課題,かだい,n1
花壇,かだん,n1
家畜,かちく,n1
画期,かっき,n1
活発,かっぱつ,n1
且つ,かつ,n1
割,かつ,n1
嘗て,かつて,n1
日付,かづけ,n1
門,かど,n1
叶う,かなう,n1
叶える,かなえる,n1
金槌,かなづち,n1
鉄棒,かなぼう,n1
可成,かなり,n1
加入,かにゅう,n1
金庫,かねぐら,n1
予言,かねごと,n1
兼ねて,かねて,n1
下番,かばん,n1
下品,かひん,n1
華美,かび,n1
花粉,かふん,n1
株式,かぶしき,n1
気触れる,かぶれる,n1
貨幣,かへい,n1
構え,かまえ,n1
構える,かまえる,n1
加味,かみ,n1
噛み切る,かみきる,n1
過密,かみつ,n1
瓶,かめ,n1
かも知れない,かもしれない,n1
粥,かゆ,n1
痒い,かゆい,n1
揶揄う,からかう,n1
身体,からだ,n1
体付き,からだつき,n1
絡む,からむ,n1
借り,かり,n1
下吏,かり,n1
加留多,かるた,n1
涸れる,かれる,n1
過労,かろう,n1
辛うじて,かろうじて,n1
側,かわ,n1
可愛い,かわいい,n1
可愛がる,かわいがる,n1
可哀想,かわいそう,n1
可愛らしい,かわいらしい,n1
交わす,かわす,n1
代わる,かわる,n1
代わる代わる,かわるがわる,n1
乾,かん,n1
管,かん,n1
幹,かん,n1
冠,かん,n1
観,かん,n1
館,かん,n1
簡易,かんい,n1
感慨,かんがい,n1
寒気,かんき,n1
簡潔,かんけつ,n1
還元,かんげん,n1
刊行,かんこう,n1
慣行,かんこう,n1
勧告,かんこく,n1
看護,かんご,n1
漢語,かんご,n1
換算,かんさん,n1
監視,かんし,n1
慣習,かんしゅう,n1
観衆,かんしゅう,n1
干渉,かんしょう,n1
感触,かんしょく,n1
肝心,かんじん,n1
歓声,かんせい,n1
感染,かんせん,n1
幹線,かんせん,n1
関税,かんぜい,n1
簡素,かんそ,n1
観点,かんてん,n1
感度,かんど,n1
幹部,かんぶ,n1
勘弁,かんべん,n1
完璧,かんぺき,n1
感無量,かんむりょう,n1
勧誘,かんゆう,n1
関与,かんよ,n1
慣用,かんよう,n1
寛容,かんよう,n1
観覧,かんらん,n1
官僚,かんりょう,n1
慣例,かんれい,n1
還暦,かんれき,n1
貫禄,かんろく,n1
緩和,かんわ,n1
蓋,がい,n1
街,がい,n1
外貨,がいか,n1
外観,がいかん,n1
外相,がいしょう,n1
害する,がいする,n1
概説,がいせつ,n1
該当,がいとう,n1
街頭,がいとう,n1
概念,がいねん,n1
外来,がいらい,n1
概略,がいりゃく,n1
学芸,がくげい,n1
学士,がくし,n1
学説,がくせつ,n1
楽譜,がくふ,n1
学歴,がくれき,n1
崖,がけ,n1
雅致,がち,n1
がっくり,がっくり,n1
合唱,がっしょう,n1
がっしり,がっしり,n1
合致,がっち,n1
がっちり,がっちり,n1
月日,がっぴ,n1
合併,がっぺい,n1
がる,がる,n1
側,がわ,n1
癌,がん,n1
眼科,がんか,n1
眼球,がんきゅう,n1
眼鏡,がんきょう,n1
頑固,がんこ,n1
願書,がんしょ,n1
頑丈,がんじょう,n1
岩石,がんせき,n1
元年,がんねん,n1
贋物,がんぶつ,n1
元来,がんらい,n1
生,き,n1
期,き,n1
企画,きかく,n1
規格,きかく,n1
着飾る,きかざる,n1
器官,きかん,n1
季刊,きかん,n1
危害,きがい,n1
気兼ね,きがね,n1
気軽,きがる,n1
危機,きき,n1
聞き取り,ききとり,n1
効き目,ききめ,n1
帰京,ききょう,n1
基金,ききん,n1
棄権,きけん,n1
喜劇,きげき,n1
起源,きげん,n1
機構,きこう,n1
既婚,きこん,n1
記載,きさい,n1
気障,きざ,n1
兆し,きざし,n1
兆,きざし,n1
軋む,きしむ,n1
気象,きしょう,n1
期日,きじつ,n1
記述,きじゅつ,n1
奇数,きすう,n1
築く,きずく,n1
傷付く,きずつく,n1
規制,きせい,n1
汽船,きせん,n1
寄贈,きそう,n1
貴族,きぞく,n1
鍛える,きたえる,n1
来る,きたる,n1
気立て,きだて,n1
きちっと,きちっと,n1
几帳面,きちょうめん,n1
切っ掛け,きっかけ,n1
きっかり,きっかり,n1
喫茶,きっさ,n1
きっちり,きっちり,n1
屹度,きっと,n1
きっぱり,きっぱり,n1
規定,きてい,n1
起点,きてん,n1
軌道,きどう,n1
甲,きのえ,n1
気配,きはい,n1
規範,きはん,n1
気品,きひん,n1
気風,きふう,n1
起伏,きふく,n1
規模,きぼ,n1
気まぐれ,きまぐれ,n1
生真面目,きまじめ,n1
期末,きまつ,n1
決まり悪い,きまりわるい,n1
決まる,きまる,n1
記名,きめい,n1
脚色,きゃくしょく,n1
脚本,きゃくほん,n1
客観,きゃっかん,n1
規約,きやく,n1
救援,きゅうえん,n1
休学,きゅうがく,n1
究極,きゅうきょく,n1
窮屈,きゅうくつ,n1
球根,きゅうこん,n1
救済,きゅうさい,n1
給食,きゅうしょく,n1
給仕,きゅうじ,n1
休戦,きゅうせん,n1
旧知,きゅうち,n1
宮殿,きゅうでん,n1
窮乏,きゅうぼう,n1
丘陵,きゅうりょう,n1
共,きょう,n1
供,きょう,n1
驚異,きょうい,n1
教員,きょういん,n1
教科,きょうか,n1
協会,きょうかい,n1
共感,きょうかん,n1
共学,きょうがく,n1
協議,きょうぎ,n1
教訓,きょうくん,n1
境遇,きょうぐう,n1
強行,きょうこう,n1
強硬,きょうこう,n1
凶作,きょうさく,n1
共産,きょうさん,n1
教材,きょうざい,n1
教習,きょうしゅう,n1
郷愁,きょうしゅう,n1
教職,きょうしょく,n1
享受,きょうじゅ,n1
興じる,きょうじる,n1
強制,きょうせい,n1
共存,きょうそん,n1
姉妹,きょうだい,n1
協調,きょうちょう,n1
協定,きょうてい,n1
脅迫,きょうはく,n1
共鳴,きょうめい,n1
郷里,きょうり,n1
強烈,きょうれつ,n1
共和,きょうわ,n1
曲,きょく,n1
局限,きょくげん,n1
極端,きょくたん,n1
居住,きょじゅう,n1
拒絶,きょぜつ,n1
拒否,きょひ,n1
許容,きょよう,n1
距離,きょり,n1
寄与,きよ,n1
清らか,きよらか,n1
気楽,きらく,n1
煌びやか,きらびやか,n1
切り,きり,n1
桐,きり,n1
切り替える,きりかえる,n1
気流,きりゅう,n1
奇麗,きれい,n1
切れ目,きれめ,n1
際,きわ,n1
木綿,きわた,n1
極めて,きわめて,n1
僅,きん,n1
近眼,きんがん,n1
緊急,きんきゅう,n1
近々,きんきん,n1
近郊,きんこう,n1
均衡,きんこう,n1
近視,きんし,n1
禁じる,きんじる,n1
禁ずる,きんずる,n1
勤勉,きんべん,n1
勤務,きんむ,n1
禁物,きんもつ,n1
勤労,きんろう,n1
議案,ぎあん,n1
戯曲,ぎきょく,n1
議決,ぎけつ,n1
議事堂,ぎじどう,n1
犠牲,ぎせい,n1
偽造,ぎぞう,n1
議題,ぎだい,n1
技能,ぎのう,n1
逆転,ぎゃくてん,n1
行,ぎょう,n1
業者,ぎょうしゃ,n1
行政,ぎょうせい,n1
業績,ぎょうせき,n1
業務,ぎょうむ,n1
玉,ぎょく,n1
漁船,ぎょせん,n1
漁村,ぎょそん,n1
義理,ぎり,n1
疑惑,ぎわく,n1
吟味,ぎんみ,n1
区,く,n1
食い違う,くいちがう,n1
空腹,くうふく,n1
区画,くかく,n1
区間,くかん,n1
茎,くき,n1
区切り,くぎり,n1
潜る,くぐる,n1
種々,くさぐさ,n1
嚏,くしゃみ,n1
旧事,くじ,n1
籤引,くじびき,n1
擽ぐったい,くすぐったい,n1
草臥れる,くたびれる,n1
下らない,くだらない,n1
件,くだん,n1
口ずさむ,くちずさむ,n1
嘴,くちばし,n1
朽ちる,くちる,n1
くっきり,くっきり,n1
屈折,くっせつ,n1
くっ付く,くっつく,n1
くっ付ける,くっつける,n1
覆す,くつがえす,n1
諄い,くどい,n1
国境,くにざかい,n1
首飾り,くびかざり,n1
首輪,くびわ,n1
組み合わせ,くみあわせ,n1
組み合わせる,くみあわせる,n1
組み込む,くみこむ,n1
蔵,くら,n1
苦しめる,くるしめる,n1
包む,くるむ,n1
呉れ呉れも,くれぐれも,n1
呉れる,くれる,n1
玄人,くろうと,n1
黒字,くろじ,n1
君主,くんしゅ,n1
愚痴,ぐち,n1
ぐっと,ぐっと,n1
ぐらい,ぐらい,n1
群,ぐん,n1
軍艦,ぐんかん,n1
群集,ぐんしゅう,n1
軍事,ぐんじ,n1
軍備,ぐんび,n1
軍服,ぐんぷく,n1
刑,けい,n1
頃,けい,n1
傾,けい,n1
系,けい,n1
経過,けいか,n1
軽快,けいかい,n1
警戒,けいかい,n1
計器,けいき,n1
契機,けいき,n1
敬具,けいぐ,n1
軽減,けいげん,n1
掲載,けいさい,n1
傾斜,けいしゃ,n1
形成,けいせい,n1
形勢,けいせい,n1
軽率,けいそつ,n1
携帯,けいたい,n1
形態,けいたい,n1
刑罰,けいばつ,n1
経費,けいひ,n1
警部,けいぶ,n1
軽蔑,けいべつ,n1
経歴,けいれき,n1
経路,けいろ,n1
汚す,けがす,n1
汚らわしい,けがらわしい,n1
汚れ,けがれ,n1
汚れる,けがれる,n1
獣,けだもの,n1
吝嗇,けち,n1
結核,けっかく,n1
血管,けっかん,n1
決行,けっこう,n1
決算,けっさん,n1
決勝,けっしょう,n1
結晶,けっしょう,n1
結成,けっせい,n1
結束,けっそく,n1
傑,けつ,n1
決意,けつい,n1
決議,けつぎ,n1
結合,けつごう,n1
決断,けつだん,n1
欠乏,けつぼう,n1
蹴飛ばす,けとばす,n1
貶す,けなす,n1
煙たい,けむたい,n1
煙る,けむる,n1
家来,けらい,n1
けれど,けれど,n1
圏,けん,n1
権,けん,n1
権威,けんい,n1
兼業,けんぎょう,n1
権限,けんげん,n1
健在,けんざい,n1
懸賞,けんしょう,n1
検事,けんじ,n1
健全,けんぜん,n1
見地,けんち,n1
賢明,けんめい,n1
倹約,けんやく,n1
兼用,けんよう,n1
権力,けんりょく,n1
劇団,げきだん,n1
激励,げきれい,n1
月謝,げっしゃ,n1
げっそり,げっそり,n1
月賦,げっぷ,n1
下痢,げり,n1
原,げん,n1
原形,げんけい,n1
現行,げんこう,n1
原作,げんさく,n1
原子,げんし,n1
元首,げんしゅ,n1
原書,げんしょ,n1
減少,げんしょう,n1
現場,げんじょう,n1
元素,げんそ,n1
原則,げんそく,n1
現像,げんぞう,n1
現地,げんち,n1
限定,げんてい,n1
原点,げんてん,n1
原典,げんてん,n1
減点,げんてん,n1
原爆,げんばく,n1
原文,げんぶん,n1
厳密,げんみつ,n1
原油,げんゆ,n1
言論,げんろん,n1
故,こ,n1
戸,こ,n1
児,こ,n1
巨,こ,n1
恋する,こいする,n1
溝,こう,n1
校,こう,n1
好意,こうい,n1
行為,こうい,n1
行員,こういん,n1
交易,こうえき,n1
公演,こうえん,n1
後悔,こうかい,n1
公開,こうかい,n1
航海,こうかい,n1
工学,こうがく,n1
皇居,こうきょ,n1
好況,こうきょう,n1
抗議,こうぎ,n1
鉱業,こうぎょう,n1
興業,こうぎょう,n1
高原,こうげん,n1
煌々と,こうこうと,n1
考古学,こうこがく,n1
交互,こうご,n1
工作,こうさく,n1
耕作,こうさく,n1
鉱山,こうざん,n1
講習,こうしゅう,n1
交渉,こうしょう,n1
高尚,こうしょう,n1
行進,こうしん,n1
香辛料,こうしんりょう,n1
口述,こうじゅつ,n1
控除,こうじょ,n1
向上,こうじょう,n1
降水,こうすい,n1
洪水,こうずい,n1
公然,こうぜん,n1
抗争,こうそう,n1
構想,こうそう,n1
拘束,こうそく,n1
後退,こうたい,n1
光沢,こうたく,n1
公団,こうだん,n1
好調,こうちょう,n1
口頭,こうとう,n1
講読,こうどく,n1
購読,こうどく,n1
購入,こうにゅう,n1
公認,こうにん,n1
光熱費,こうねつひ,n1
荒廃,こうはい,n1
購買,こうばい,n1
好評,こうひょう,n1
交付,こうふ,n1
降伏,こうふく,n1
興奮,こうふん,n1
公募,こうぼ,n1
巧妙,こうみょう,n1
公用,こうよう,n1
小売,こうり,n1
効率,こうりつ,n1
公立,こうりつ,n1
小柄,こがら,n1
小切手,こぎって,n1
国産,こくさん,n1
国定,こくてい,n1
国土,こくど,n1
告白,こくはく,n1
国防,こくぼう,n1
国有,こくゆう,n1
国連,こくれん,n1
漕ぐ,こぐ,n1
焦げ茶,こげちゃ,n1
個々,ここ,n1
箇箇,ここ,n1
心地,ここち,n1
心得,こころえ,n1
心掛け,こころがけ,n1
心掛ける,こころがける,n1
志,こころざし,n1
志す,こころざす,n1
心強い,こころづよい,n1
心細い,こころぼそい,n1
試み,こころみ,n1
試みる,こころみる,n1
快い,こころよい,n1
凝らす,こごらす,n1
凝る,こごる,n1
拵える,こしらえる,n1
孤児,こじ,n1
拗れる,こじれる,n1
故人,こじん,n1
梢,こずえ,n1
個性,こせい,n1
戸籍,こせき,n1
小銭,こぜに,n1
固体,こたい,n1
答え,こたえ,n1
堪える,こたえる,n1
火燵,こたつ,n1
古代,こだい,n1
こだわる,こだわる,n1
誇張,こちょう,n1
滑稽,こっけい,n1
国交,こっこう,n1
骨董品,こっとうひん,n1
骨,こつ,n1
固定,こてい,n1
事柄,ことがら,n1
悉く,ことごとく,n1
言伝,ことづて,n1
殊に,ことに,n1
事によると,ことによると,n1
孤独,こどく,n1
粉々,こなごな,n1
此の,この,n1
この間,このあいだ,n1
この頃,このごろ,n1
好ましい,このましい,n1
個別,こべつ,n1
零す,こぼす,n1
零れる,こぼれる,n1
細やか,こまやか,n1
混む,こむ,n1
込める,こめる,n1
篭る,こもる,n1
固有,こゆう,n1
雇用,こよう,n1
暦,こよみ,n1
堪える,こらえる,n1
孤立,こりつ,n1
懲りる,こりる,n1
此れ,これ,n1
此れ等,これら,n1
魂,こん,n1
根気,こんき,n1
根拠,こんきょ,n1
混血,こんけつ,n1
昆虫,こんちゅう,n1
根底,こんてい,n1
混同,こんどう,n1
今日は,こんにちは,n1
今晩は,こんばんは,n1
根本,こんぽん,n1
御,ご,n1
語彙,ごい,n1
濠,ごう,n1
業,ごう,n1
号,ごう,n1
合意,ごうい,n1
合議,ごうぎ,n1
強気,ごうぎ,n1
合成,ごうせい,n1
護衛,ごえい,n1
語句,ごく,n1
極楽,ごくらく,n1
ご苦労様,ごくろうさま,n1
語源,ごげん,n1
誤差,ごさ,n1
ご座います,ございます,n1
ご馳走,ごちそう,n1
ご馳走さま,ごちそうさま,n1
毎,ごと,n1
碁盤,ごばん,n1
ご無沙汰,ごぶさた,n1
誤魔化す,ごまかす,n1
御免ください,ごめんください,n1
御免なさい,ごめんなさい,n1
御覧なさい,ごらんなさい,n1
佐,さ,n1
再,さい,n1
差異,さい,n1
歳,さい,n1
再会,さいかい,n1
災害,さいがい,n1
